Piste 10,Piste 16,Piste 28,Piste 32,Piste 34,Total,company_name
0,0,8,117,18,143,Flughafen Zürich AG
0,11,71,18,14,114,Flughafen Zürich AG
0,6,51,49,10,116,Flughafen Zürich AG
0,3,72,2,8,85,Flughafen Zürich AG
0,0,34,27,8,69,Flughafen Zürich AG
0,0,3,82,6,91,Flughafen Zürich AG
0,3,57,21,19,100,Flughafen Zürich AG
0,0,6,102,33,141,Flughafen Zürich AG
0,11,83,16,16,126,Flughafen Zürich AG
0,2,91,10,17,120,Flughafen Zürich AG
0,0,16,75,9,100,Flughafen Zürich AG
0,1,56,19,13,89,Flughafen Zürich AG
0,8,104,5,4,121,Flughafen Zürich AG
0,0,16,84,25,125,Flughafen Zürich AG
0,6,66,32,15,119,Flughafen Zürich AG
0,3,58,34,22,117,Flughafen Zürich AG
0,5,127,12,13,157,Flughafen Zürich AG
0,0,2,95,20,117,Flughafen Zürich AG
0,0,2,69,18,89,Flughafen Zürich AG
0,0,36,58,3,97,Flughafen Zürich AG
0,4,102,4,13,123,Flughafen Zürich AG
0,10,149,7,12,178,Flughafen Zürich AG
